Taxi Rank,Time the taxi join the queue,,,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key
Bergzicht,15:09:00,,15.15,0,15:49:00,CL56735,CLOETESVILLE,9,665,15,15:58:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:09:00,,15.15,0,16:11:00,CF101707,SOMERSET WEST,15,none,16,16:16:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,15:10:00,,15.17,4,15:49:00,3JACOBSWP,CLOETESVILLE,9,665,14,15:49:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:10:00,,15.17,6,15:11:00,CL915,JAMESTOWN,10,670,16,15:37:00,18-Jun-18,Weekday PM,18Jun-670-Weekday PM-Bergzicht
Bergzicht,15:11:00,,15.18,0,16:24:00,CFM54430,SOMERSET WEST,15,76,16,16:29:00,18-Jun-18,Weekday PM,18Jun-76-Weekday PM-Bergzicht
Bergzicht,15:12:00,,15.2,0,16:34:00,CL24792,SOMERSET WEST,15,none,16,16:42:00,18-Jun-18,Weekday PM,18Jun-none-Weekday PM-Bergzicht
Bergzicht,15:16:00,,15.27,0,15:31:00,CL33233,IDAS VALLEY,9,665,14,15:58:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:17:00,,15.28,0,15:43:00,CL78512,KAYAMANDI,10,676,16,15:49:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:20:00,,15.33,0,16:07:00,THURLOWP,CLOETESVILLE,9,665,14,16:24:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
Bergzicht,15:25:00,,15.42,0,15:25:00,CL80679,KAYAMANDI,10,676,16,15:26:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:25:00,,15.42,0,15:25:00,CL27100,KAYAMANDI,10,676,16,15:27:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:27,,15.45,0,15:28:00,CL76636,KAYAMANDI,10,676,16,15:33:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:29:00,,15.48,0,15:46:00,CL63744,KAYAMANDI,10,676,16,15:51:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:29:00,,15.48,0,15:44:00,CF214332,KAYAMANDI,10,676,16,15:33:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:30:00,,15.5,0,15:59:00,CL48819,CLOETESVILLE,9,636,14,16:08:00,18-Jun-18,Weekday PM,18Jun-636-Weekday PM-Bergzicht
Bergzicht,15:34:00,,15.57,0,15:34:00,CL10332,SOMERSET WEST,15,660,16,15:41:00,18-Jun-18,Weekday PM,18Jun-660-Weekday PM-Bergzicht
Bergzicht,15:35:00,,15.58,0,15:50:00,CF145445,KAYAMANDI,10,676,16,15:55:00,18-Jun-18,Weekday PM,18Jun-676-Weekday PM-Bergzicht
Bergzicht,15:37:00,,15.62,0,16:17:00,CL44770,CLOETESVILLE,9,665,14,16:12:00,18-Jun-18,Weekday PM,18Jun-665-Weekday PM-Bergzicht
