Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,13:23,,13.38,3,13:40:00,CL44770,CLOETESVILLE, R9.00 ,636,15,13:43:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,13:23,,13.38,0,13:38:00,CL82852,CLOETESVILLE, R9.00 ,665,15,13:38:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:23,,13.38,0,13:24:00,CL16802,KAYAMANDI, R10.00 ,676,15,13:28:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:25,,13.42,0,13:26:00,CL75515,DEVON VALLEY, R10.00 ,664,16,13:28:00,30-Jun-18,Saturday,30Jun-664-Saturday-Bergzicht,,
Bergzicht,13:25,,13.42,1,,CL30551,JAMESTOWN, R10.00 ,670,15,13:37:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,13:26,,13.43,0,13:26:00,CL13220,KAYAMANDI, R10.00 ,676,15,13:30:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:26,,13.43,0,13:29:00,CL47420,KAYAMANDI, R10.00 ,676,15,13:31:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:28,,13.47,0,13:31:00,CL20504,KAYAMANDI, R10.00 ,676,15,13:33:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:29,,13.48,6,13:54:00,CL55040,KYLEMORE, R13.00 ,668,15,13:54:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:29,,13.48,0,13:32:00,CL70054,KAYAMANDI, R10.00 ,676,15,13:34:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:30,,13.50,0,13:43:00,CL55423,CLOETESVILLE, R9.00 ,665,15,13:46:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:30,,13.50,0,13:45:00,THURLOWP,CLOETESVILLE, R9.00 ,665,15,13:49:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:30,,13.50,0,13:45:00,GEORGE3WP,CLOETESVILLE, R9.00 ,665,15,13:52:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:31,,13.52,2,13:34:00,CF195069,EERSTE RIVIER, R9.00 ,353,14,,30-Jun-18,Saturday,30Jun-353-Saturday-Bergzicht,,
Bergzicht,13:31,,13.52,0,13:32:00,CL31110,KAYAMANDI, R10.00 ,676,15,13:34:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:32,,13.53,0,13:33:00,CF95840,KAYAMANDI, R10.00 ,676,18,13:38:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:33,,13.55,0,13:59:00,CL30517,JAMESTOWN, R10.00 ,670,14,14:00:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,13:33,,13.55,0,13:35:00,CL21874,KAYAMANDI, R10.00 ,676,15,13:37:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:34,,13.57,0,13:36:00,DINGE1WP,KAYAMANDI, R10.00 ,676,15,13:39:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:35,,13.58,16,13:36:00,CL48784,DEVON VALLEY, R10.00 ,664,16,13:42:00,30-Jun-18,Saturday,30Jun-664-Saturday-Bergzicht,,
Bergzicht,13:36,,13.60,0,,CL61881,KYLEMORE, R13.00 ,668,15,14:00:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:37,,13.62,3,13:37:00,CL55497,VLOTTENBURG, R10.00 ,663,16,13:54:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,13:37,,13.62,0,13:38:00,CL53622,KAYAMANDI, R10.00 ,676,15,13:40:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:38,,13.63,0,,CL69021,IDASVALLEY, R9.00 ,630,,14:00:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:38,,13.63,0,13:40:00,CA851626,KAYAMANDI, R10.00 ,676,15,13:45:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:38,,13.63,0,13:40:00,CL15771,KAYAMANDI, R10.00 ,676,15,13:43:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:39,,13.65,0,,CL24530,IDASVALLEY, R9.00 ,630,,14:00:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:39,,13.65,0,13:48:00,CL44848,CLOETESVILLE, R9.00 ,665,15,13:54:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:39,,13.65,0,13:41:00,CF129556,KAYAMANDI, R10.00 ,676,15,13:46:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:39,,13.65,0,13:44:00,CL82364,KAYAMANDI, R10.00 ,676,15,13:46:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:40,,13.67,0,13:48:00,CL48819,CLOETESVILLE, R9.00 ,636,15,13:57:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
Bergzicht,13:40,,13.67,0,13:48:00,CL82983,CLOETESVILLE, R9.00 ,665,15,13:56:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,13:41,,13.68,0,13:46:00,CL68850,KAYAMANDI, R10.00 ,676,15,13:48:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:42,,13.70,0,13:47:00,CA618417,KAYAMANDI, R10.00 ,676,15,13:50:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:43,,13.72,0,13:49:00,CL61192,KAYAMANDI, R10.00 ,676,15,13:51:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:44,,13.73,0,,CL53491,IDASVALLEY, R9.00 ,630,,14:00:00,30-Jun-18,Saturday,30Jun-630-Saturday-Bergzicht,,
Bergzicht,13:44,,13.73,0,,CL78692,KYLEMORE, R13.00 ,668,15,14:00:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:46,,13.77,0,,CL13453,KYLEMORE, R13.00 ,668,15,14:00:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,13:46,,13.77,0,13:49:00,CF64390,KAYAMANDI, R10.00 ,676,15,13:54:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:47,,13.78,0,13:51:00,CL59948,KAYAMANDI, R10.00 ,676,15,13:54:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:47,,13.78,0,13:55:00,CL46830,KAYAMANDI, R10.00 ,676,15,13:56:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:48,,13.80,0,13:55:00,CL764299,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:49,,13.82,0,13:55:00,CL78512,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:49,,13.82,0,,CL59259,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:50,,13.83,0,13:56:00,CL63744,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:52,,13.87,0,,CF145445,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:55,,13.92,0,,CL27391,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:55,,13.92,0,13:57:00,CL56735,CLOETESVILLE, R9.00 ,none,15,14:00:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,13:55,,13.92,0,,CL74694,CLOETESVILLE, R9.00 ,none,,14:00:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,13:55,,13.92,0,,3JACOBSWP,,,none,,14:00:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,13:56,,13.93,0,,CL55069,KAYAMANDI, R10.00 ,676,,14:00:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,13:57,,13.95,,,,JAMESTOWN, R10.00 ,670,,14:00:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,13:59,,13.98,0,13:59:00,CL19254,SOMERSET WEST, R15.00 ,499,16,14:00:00,30-Jun-18,Saturday,30Jun-499-Saturday-Bergzicht,,
