Taxi Rank,Time the taxi join the queue,Time,Hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,,Date; Route Number; Survey Period; Taxi Rank,No of Vehicle Trips,Average Vehicle Capacity,Max passengers,% Utilization,Date,Route Code,Survey Period,Survey Location
Bergzicht,8:09:00,0.3395833,8.1500000,0,,CL44603,Cloetesville, R9.00 ,636,0,9:00:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:13:00,0.3423611,8.2166667,0,,CL82366,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:13:00,0.3423611,8.2166667,0,,KYTA1WP,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:13:00,0.3423611,8.2166667,2,8:21:00,LKS1WP,Jamestown, R10.00 ,670,15,8:32:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:14:00,0.3430556,8.2333333,0,,MJACOBSWP,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:15:00,0.3437500,8.2500000,0,,CL33233,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:16:00,0.3444444,8.2666667,0,,DEONRWP,Idas Valley, R9.00 ,630,,9:00:00,18-Jun-18,Weekday AM,18Jun-630-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:18:00,0.3458333,8.3000000,0,,CL82983,Cloetesville, R9.00 ,665,0,9:00:00,18-Jun-18,Weekday AM,18Jun-665-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:19:00,0.3465278,8.3166667,0,,CL40350,Cloetesville, R9.00 ,636,0,9:00:00,18-Jun-18,Weekday AM,18Jun-636-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:19:00,0.3465278,8.3166667,0,,CL61881,KYLEMORE, R13.00 ,668,,9:00:00,18-Jun-18,Weekday AM,18Jun-668-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:20:00,0.3472222,8.3333333,0,,CL31272,Devon Valley, R10.00 ,664,,9:00:00,18-Jun-18,Weekday AM,18Jun-664-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:22:00,0.3486111,8.3666667,1,8:33:00,CL30351,Jamestown, R10.00 ,670,17,8:42:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
Bergzicht,8:22,0.3486111,8.3666667,0,8:42:00,CL915,Jamestown, R10.00 ,670,18,8:56:00,18-Jun-18,Weekday AM,18Jun-670-Weekday AM-Bergzicht,,,,,,,,,,
