Taxi Rank,Time the taxi join the queue,,Time in hours,Number of passengers alighting,Time the 1st passenger boards the taxi,Vehicle Registration ,Destination,Single Fare,Route number/code,Number of passengers in taxi when it departs,Time the taxi departs,Date,Survey Period,Key,Column1,Date; Route Number; Survey Period; Taxi Rank
Bergzicht,11:56,,11.93,0,12:13:00,GEORGE3WP,CLOETESVILLE,9,665,15,12:17:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,11:57,,11.95,0,12:03:00,CL49069,KAYAMANDI,10,676,15,12:06:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,11:59,,11.98,0,12:16:00,CL44818,CLOETESVILLE,9,665,15,12:19:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,11:59,,11.98,0,12:19:00,CL82983,CLOETESVILLE,9,665,15,12:22:00,30-Jun-18,Saturday,30Jun-665-Saturday-Bergzicht,,
Bergzicht,11:59,,11.98,0,12:25:00,CL61881,KYLEMORE,13,668,15,12:38:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:00,,12,7,12:22:00,CL49798,JAMESTOWN,10,670,16,12:31:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:00,,12,0,12:06:00,CL65907,KAYAMANDI,10,676,15,12:12:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:00,,12,0,12:04:00,CL16548,KAYAMANDI,10,676,15,12:10:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:04,,12.07,0,12:26:00,CL55040,KYLEMORE,13,668,15,12:31:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:04,,12.07,0,12:09:00,CL37374,KAYAMANDI,10,676,15,12:13:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:05,,12.08,0,12:16:00,CL53662,KAYAMANDI,10,676,15,12:25:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:05,,12.08,0,12:11:00,CL39940,KAYAMANDI,10,676,15,12:15:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:05,,12.08,0,12:15:00,CL77074,KAYAMANDI,10,676,15,12:17:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:05,,12.08,0,12:50:00,CL68706,EERSTERIVIER,9,none,14,12:51:00,30-Jun-18,Saturday,30Jun-none-Saturday-Bergzicht,,
Bergzicht,12:06,,12.1,0,12:29:00,CL283,KYLEMORE,13,668,15,12:11:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:06,,12.1,0,12:09:00,NICKY1WP,KYLEMORE,13,668,15,12:18:00,30-Jun-18,Saturday,30Jun-668-Saturday-Bergzicht,,
Bergzicht,12:07,,12.12,0,12:15:00,CL32085,KAYAMANDI,10,676,15,12:23:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:09,,12.15,0,12:30:00,CL48784,DEVON VALLEY,10,664,16,12:51:00,30-Jun-18,Saturday,30Jun-664-Saturday-Bergzicht,,
Bergzicht,12:11,,12.18,16,12:12:00,CL14561,VLOTTENBURG,10,663,16,12:20:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,12:12,,12.2,0,12:20:00,CL62851,VLOTTENBURG,10,663,16,12:24:00,30-Jun-18,Saturday,30Jun-663-Saturday-Bergzicht,,
Bergzicht,12:13,,12.22,0,12:31:00,CL915,JAMESTOWN,10,670,16,12:39:00,30-Jun-18,Saturday,30Jun-670-Saturday-Bergzicht,,
Bergzicht,12:14,,12.23,0,,CL53622,KAYAMANDI,10,676,,,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:15,,12.25,0,12:27:00,CL41635,KAYAMANDI,10,676,15,12:29:00,30-Jun-18,Saturday,30Jun-676-Saturday-Bergzicht,,
Bergzicht,12:17,,12.28,0,12:21:00,CL48819,CLOETESVILLE,9,636,15,12:25:00,30-Jun-18,Saturday,30Jun-636-Saturday-Bergzicht,,
